Polygon_ID,acq_date,frp,acq_time,ELEV_sum,ELEV_mean,SLP_sum,SLP_mean,EVT_sum,EVT_mean,EVH_sum,EVH_mean,EVC_sum,EVC_mean,CBD_sum,CBD_mean,CBH_sum,CBH_mean,CC_sum,CC_mean,CH_sum,CH_mean,c_latitude,c_longitude,TEMP_min,TEMP_max,PRCP,SNOW,WDIR_ave,WSPD_ave,PRES_ave,WCOMP,frp_scaled
1395647,2016-11-04,18.2,2053,0.0,0.0,0.0,0.0,56920.0,168.40237,41066.0,121.49704,2378690.0,7037.5444,8624.0,25.514793,6482.0,19.177515,23410.0,69.26035,68220.0,201.83432,-2288426.24289801,2390130.42060716,13.7,9.4,17.8,0.0,0.0,171.6,14.0,1019.6,1.2833012287035497
1395715,2016-11-17,8.0,2010,0.0,0.0,0.0,0.0,51824.0,153.32544,42520.0,125.79881,2423260.0,7169.408,5940.0,17.573965,5452.0,16.130178,19380.0,57.337276,51560.0,152.54437,-2288426.24289801,2364630.42060716,8.0,4.4,12.8,0.0,0.0,158.1,7.4,1020.8,0.9542425094393248
1411133,2016-10-22,1.1,1014,0.0,0.0,0.0,0.0,74778.0,221.23668,61470.0,181.8639,2408002.0,7124.266,7868.0,23.278107,6590.0,19.497042,22530.0,66.65681,55020.0,162.78107,-2287676.24289801,2389380.42060716,11.0,8.3,14.4,0.0,0.0,129.9,11.1,1014.0,0.3222192947339193
1659913,2016-05-20,0.7,"1022,1022",0.0,0.0,0.0,0.0,81962.0,242.49112,74328.0,219.90532,2737160.0,8098.1064,10.0,0.0295858,12.0,0.03550296,50.0,0.147929,220.0,0.65088755,-2275676.24289801,2000880.42060716,13.8,11.0,17.0,0.0,0.0,275.8,24.7,1007.6,0.2304489213782739
1659913,2016-08-03,0.7,1015,0.0,0.0,0.0,0.0,81962.0,242.49112,74328.0,219.90532,2737160.0,8098.1064,10.0,0.0295858,12.0,0.03550296,50.0,0.147929,220.0,0.65088755,-2275676.24289801,2000880.42060716,17.1,8.0,29.0,0.0,0.0,211.4,8.3,1013.0,0.2304489213782739
1722376,2016-07-23,29.7,2142,100416.0,321.84616,8992.0,28.820513,46673.0,299.18588,42400.0,271.79486,1239926.0,7948.2437,497.0,3.1858974,283.0,1.8141025,1075.0,6.8910255,2590.0,16.602564,-2272676.24289801,1803255.42060716,17.1,15.6,34.1,0.0,0.0,293.7,16.2,1013.7,1.4871383754771863
1722376,2016-07-23,29.7,2142,100416.0,321.84616,8992.0,28.820513,46673.0,299.18588,42400.0,271.79486,1239926.0,7948.2437,497.0,3.1858974,283.0,1.8141025,1075.0,6.8910255,2590.0,16.602564,-2272676.24289801,1803255.42060716,17.1,15.6,34.1,0.0,0.0,293.7,16.2,1013.7,1.4871383754771863
1722407,2016-08-01,14.9,2033,102772.0,304.05917,9256.0,27.384615,50681.0,299.88757,45325.0,268.19525,1221754.0,7229.3135,2916.0,17.254438,681.0,4.029586,3555.0,21.035503,12310.0,72.84024,-2272676.24289801,1791630.4206071598,16.7,16.1,21.9,0.0,0.0,206.9,12.2,1014.9,1.2013971243204515
1730160,2016-08-04,1.9,2117,60220.0,209.09723,8136.0,28.25,33591.0,233.27083,29639.0,205.82639,1036263.0,7196.271,2470.0,17.152779,625.0,4.3402777,3065.0,21.284721,11770.0,81.736115,-2272301.24289801,1787505.4206071598,15.1,15.6,21.6,0.0,0.0,249.9,14.0,1014.3,0.4623979978989561
1737902,2016-08-03,0.8,1015,73808.0,236.5641,9934.0,31.839743,35569.0,228.00641,30968.0,198.51282,1111462.0,7124.7563,5482.0,35.141026,1286.0,8.243589,5905.0,37.852566,23910.0,153.26923,-2271926.24289801,1787505.4206071598,15.3,14.9,23.1,0.0,0.0,316.6,13.7,1015.7,0.255272505103306
1745607,2016-07-23,2.5,1022,115762.0,371.03204,8284.0,26.551283,39738.0,254.73077,34953.0,224.0577,1125626.0,7215.5513,8327.0,53.378204,1409.0,9.032051,7300.0,46.794872,36380.0,233.20512,-2271551.24289801,1801380.4206071598,17.1,15.6,34.1,0.0,0.0,293.7,16.2,1013.7,0.5440680443502757
